Pincode,Latitude,Longitude
695551,8.75,77.12
695563,8.75,77.07
628004,8.75033,78.17261
627602,8.75036,77.50592
627413,8.75085,77.45334
627601,8.75121,77.53387
627424,8.75217,77.37744
695605,8.75228,76.79564
695143,8.7525,76.76867
628103,8.75273,78.03952
695608,8.75312,76.9388
695608,8.75312,76.93661
627351,8.75353,77.79706
695608,8.75369,76.92932
627358,8.75369,77.72494
628001,8.75372,78.55614
695612,8.7538,76.86653
628503,8.7538,77.5378
628001,8.75381,78.55336
627358,8.75439,77.69094
695605,8.75441,76.80405
695609,8.75446,76.99605
627602,8.75566,77.46244
695601,8.75602,76.86936
627010,8.75611,77.60279
627358,8.75678,77.71035
695608,8.75736,76.922
628002,8.75911,78.24756
695311,8.75924,76.71996
685563,8.75994,77.11688
695562,8.76,77.03
627357,8.76075,77.73901
627353,8.76167,77.99093
695601,8.76265,76.86573
627418,8.76272,77.40403
695609,8.76292,76.9841
695601,8.76323,76.83468
695311,8.76342,76.69767
628004,8.76347,78.17336
627351,8.76382,77.77541
628103,8.76418,78.13483
628002,8.76419,78.13482
628103,8.76419,78.13482
627357,8.76452,77.71755
627012,8.76456,77.64839
695612,8.7648,76.87317
628252,8.76494,77.83101
695601,8.76613,76.87326
695605,8.76679,76.80406
627351,8.76725,77.80768
628851,8.7679,77.92246
695601,8.76876,76.88475
627418,8.76935,77.36066
695562,8.77,77.02
628101,8.77004,78.07375
695146,8.77034,76.76287
627351,8.77206,77.79257
627012,8.77274,77.62709
695311,8.77335,76.69178
627423,8.77447,77.4451
695603,8.77545,76.77263
628101,8.77636,78.10227
627353,8.77824,77.7658
641655,8.7792,77.42501
